,Title,Text,Date
0,"Hollywood pro-Palestina contro sindacato attori,'basta silenzio'","Se lo sciopero dell'anno
scorso per esigere agli Studios aumenti salariali e protezioni
contro l'intelligenza artificiale ha mantenuto uniti i 160.000
iscritti, la guerra di Israele su Gaza ha fatto saltare i
ranghi.",12.09.2024
1,"Legrenzi (Ca' Foscari), Israele-Palestina una inutile tragedia","(ANSA) - GORIZIA, 11 SET - ""Non ci sono soluzioni militari a
problemi politici: il conflitto tra Israele...",11.09.2024
2,"Abbraccio tra bimbi Israele e Palestina,Emiliano inaugura murale","""Credo - ha concluso Emiliano - che l'amministratore di Arca
Jonica Pascarella abbia compiuto davvero un gesto di grande
importanza e impatto, una invocazione per la pace tra Israele...",11.09.2024
3,"Procuratore Cpi, 'urgente il mandato d'arresto per Netanyahu'","Resta invece il nome di Deif
- che Israele ritiene di aver ucciso in un raid vicino a Khan
Yunis sempre a luglio - in attesa di ""informazioni sufficienti e
affidabili"" che ne confermino la morte.",10.09.2024
4,"Fronte comune sulla sanità, ma divisi sulla guerra in Ucraina",La segretaria ha anche toccato il tema della guerra a Gaza dicendo che come Israele ha il diritto a vivere in sicurezza così anche la Palestina.,08.09.2024
5,"Israele, la diaspora della squadra che solo Orban vuole","(ANSA) - BUDAPEST, 08 SET - Mentre dalla Palestina...",08.09.2024
6,"Venezia 81, Amos Gitai:""Il dialogo è l'unica vittoria per la crisi a Gaza""","Penso che a volte il punto più basso darà spazio alla riconciliazione, non si può uccidersi l'un l'altro a oltranza, la vittoria non esiste finché la Palestina sarà sotto Hamas, così come Israele con un governo estremista.",31.08.2024
7,"Amos Gitai, 'il dialogo unica vittoria per la crisi a Gaza'","Penso che
a volte il punto più basso darà spazio alla riconciliazione, non
si può uccidersi l'un l'altro a oltranza, la vittoria non esiste
finché la Palestina sarà sotto Hamas, così come Israele con un
governo estremista.",31.08.2024
8,"L'idf: 'Finita l'operazione a Khan Yunis, uccisi 250 terroristi'","Gran Bretagna 'molto preoccupata' per i metodi di Israele in Cisgiordania 
Il governo britannico si è detto ""profondamente preoccupato"" per i ""metodi"" usati da Israele nell'operazione militare condotta in Cisgiordania.",30.08.2024
9,"Prosegue l'operazione militare in Cisgiordania. Onu, 'a Gaza tragedia umanitaria mai vista nel XXI secolo'","Borrell, sanzionare ministri d'Israele...",29.08.2024
